"Läns-kod","Kommun-kod","Enhet, nivå 1","","","","","place holder1","place holder 2","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","114","Edsby slott","","","","40-60","0","0","26","42","0","86","78","82","83","","83","100","81","84","100","91","100","100","71","91","44","88","67","92","71","100","100"
"1","114","Edsby slott","Edsby slott Gamla","","","60-80","0","0","11","22","0","75","67","67","100","88","88","100","x","x","100","100","100","100","60","100","x","90","67","90","60","100","100"
"1","114","Edsby slott","Edsby slott Nya","","","40-60","0","0","38","57","0","92","86","92","71","79","79","100","71","86","100","86","100","100","77","82","50","86","64","93","79","100","100"
"1","114","Hedvigsgården","","","","60-80","0","0","9","43","9","95","65","52","52","47","44","52","47","28","100","71","95","74","47","77","39","86","60","80","48","83","86"
"1","114","Lavendelgården","","","","40-60","0","0","33","56","11","100","75","56","0","56","86","63","25","50","100","63","56","89","14","25","71","88","75","89","44","86","89"
"1","114","Lavendelgården","Lavendelgården plan 3","","","60-80","0","0","29","71","0","x","x","43","x","57","x","x","29","x","100","57","57","86","x","x","x","x","x","86","57","x","100"
"1","114","Speldosan","","","","60-80","0","0","31","50","13","53","63","54","47","69","57","56","53","75","100","79","100","81","36","81","31","63","25","81","56","91","73"
"1","115","Augustendal","","","","40-60","0","0","35","29","24","80","87","76","69","67","69","59","29","53","94","73","88","88","57","60","43","94","62","88","65","75","76"
"1","115","Augustendal","Augustendal Demensboende","","","20-40","0","0","29","29","14","x","x","71","x","x","x","43","x","x","x","x","71","x","x","x","x","x","x","x","57","x","71"
"1","115","Augustendal","Augustendal Omvårdnadsboende","","","60-80","0","0","38","38","25","88","88","88","88","63","63","63","57","86","88","71","100","88","63","75","63","88","71","75","75","75","75"
"1","115","Korallen","","","","40-60","0","0","16","26","16","75","59","58","56","39","33","67","45","46","84","64","72","67","33","47","33","73","50","61","16","81","58"
"1","115","Korallen","Korallen Demensboende","","","40-60","0","0","14","29","43","x","x","57","57","57","57","86","x","x","100","x","86","71","x","x","43","x","x","71","29","x","71"
"1","115","Korallen","Korallen Omvårdnadsboende","","","40-60","0","0","10","30","0","89","56","60","63","33","22","56","x","33","70","50","67","56","43","33","33","75","50","50","10","75","50"
"1","115","Stångberga","","","","20-40","0","0","56","44","11","x","56","89","100","89","78","88","x","71","100","100","100","100","63","100","25","86","63","100","44","x","100"
"1","115","Väsbygården","","","","60-80","0","0","39","27","13","95","77","64","73","78","82","77","48","71","100","81","91","95","68","82","27","90","56","96","68","88","78"
"1","115","Väsbygården","Väsbygården Somatik","","","40-60","0","0","41","19","12","100","69","56","69","71","75","69","41","63","100","75","88","94","64","76","35","88","42","94","59","82","71"
"1","115","Vårdbo","","","","40-60","0","0","31","38","8","70","62","54","55","69","50","62","50","55","100","82","85","83","33","23","45","92","57","91","45","63","82"
"1","115","Vårdbo","Vårdbo Demensboende","","","20-40","0","0","14","14","0","x","71","43","x","86","x","43","x","x","100","x","86","x","x","14","x","100","x","100","43","x","86"
"1","117","Enebacken","","","","40-60","0","0","24","35","9","74","76","68","55","81","63","73","42","45","93","70","88","86","63","44","39","76","31","77","35","97","82"
"1","117","Enebacken","Enebacken Plan 3 Lappdal","","","80-100","0","0","29","14","0","x","57","x","x","71","43","71","x","x","86","57","86","71","x","x","43","43","x","43","0","x","71"
"1","117","Smedbygården","","","","40-60","0","0","25","40","33","100","85","86","100","95","95","90","80","89","100","90","95","95","90","100","68","100","95","100","76","95","90"
"1","117","Smedbygården","Ext Sthlm Smedbygården","","","60-80","0","0","18","30","9","100","100","91","100","91","100","100","100","100","100","100","100","100","91","100","60","100","91","100","73","100","100"
"1","117","Solskiftets äldreboende","","","","40-60","0","0","28","28","11","75","67","67","56","72","63","67","50","50","100","78","94","94","86","88","53","94","75","89","63","92","94"
"1","117","Solskiftets äldreboende","Solskiftets äldreboende Grön","","","40-60","0","0","43","43","0","x","43","57","43","71","57","43","43","x","100","57","86","86","x","x","57","x","x","71","57","x","86"
"1","117","Vårdbo","","","","40-60","0","0","8","25","8","92","69","62","67","62","46","62","18","38","83","75","85","92","69","45","31","69","31","85","69","90","85"
"1","117","Vårdbo","Vårdbo Plan 2","","","60-80","0","0","0","29","13","88","75","63","71","63","50","75","29","50","86","71","88","88","88","71","25","75","38","88","75","x","100"
"1","120","Attendo Ljung","","","","40-60","0","0","25","30","5","69","78","65","47","70","63","70","47","58","100","100","80","80","64","61","19","78","75","94","61","82","75"
"1","120","Attendo Slottsovalen","","","","60-80","0","0","15","42","15","95","76","83","88","74","76","84","63","48","96","76","88","92","75","88","24","96","67","96","54","95","92"
"1","120","Djuröhemmet","","","","20-40","0","0","15","31","8","80","77","62","85","62","58","64","42","91","100","92","83","77","58","58","38","73","45","85","46","x","62"
"1","120","Gustavsgården","","","","60-80","0","0","19","40","13","88","77","66","71","72","61","60","40","61","95","68","87","80","66","40","34","80","70","82","48","79","79"
"1","120","Gustavsgården","Gustavsgården B-huset","","","60-80","0","0","18","24","12","100","82","67","80","56","46","71","36","71","94","64","88","76","77","50","27","88","76","88","35","92","71"
"1","120","Gustavsgården","Gustavsgården C-huset","","","60-80","0","0","19","56","15","86","80","72","71","72","71","52","48","63","100","77","92","92","64","40","44","81","68","83","56","80","92"
"1","120","Gustavsgården","Gustavsgården D-huset","","","40-60","0","0","20","27","13","82","67","60","58","93","60","71","33","58","93","69","80","71","55","27","27","79","79","73","50","71","73"
"1","125","Ekgården","","","","40-60","0","0","17","50","8","90","71","57","82","96","65","78","57","61","96","83","100","88","68","64","32","82","53","95","43","100","91"
"1","125","Färingsöhemmet","","","","40-60","0","0","25","56","31","100","88","82","82","88","73","94","93","86","100","87","94","100","92","82","56","94","88","88","81","100","88"
"1","125","Kullen","","","","40-60","0","0","23","42","13","85","65","47","61","71","72","72","58","68","100","81","90","90","62","63","39","83","56","73","65","82","83"
"1","126","Björnkulla 1","","","","40-60","0","0","29","54","29","92","77","79","86","75","82","85","38","45","100","80","85","92","42","71","31","92","50","85","29","91","92"
"1","126","Björnkulla 1","Björnkulla 1 Demensboende","","","40-60","0","0","23","58","23","92","83","85","85","73","80","83","43","50","100","78","83","92","36","69","33","92","55","83","31","90","92"
