"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","","Offentlig","Enskild","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","114","Edsby slott","","","","40% - 60%","0","100","29","38","24","100","84","84","80","95","78","95","82","76","100","94","90","100","72","95","26","80","56","85","62","94","90"
"1","114","Edsby slott","Flygeln","","","40% - 60%","0","100","31","54","31","100","85","83","83","100","73","92","90","91","100","100","92","100","82","100","42","92","67","100","54","100","100"
"1","114","Edsby slott","Slottet","","","40% - 60%","0","100","29","14","14","x","x","x","71","100","x","x","x","x","100","x","86","100","x","86","x","71","x","57","71","x","71"
"1","114","Hedvigsgården","","","","20% - 40%","100","0","8","27","0","89","73","64","27","58","45","64","27","64","100","60","83","90","42","91","36","91","83","83","42","78","75"
"1","114","Hedvigsgården","Demens","","","20% - 40%","100","0","13","43","0","x","71","71","43","50","29","57","29","57","100","x","88","86","38","86","43","86","88","75","25","x","75"
"1","114","Speldosan","","","","60% - 80%","100","0","15","15","0","57","54","45","44","54","54","69","73","55","92","85","85","85","33","54","15","92","67","75","23","90","77"
"1","115","Augustendal","","","","40% - 60%","0","100","41","24","24","87","81","69","56","75","73","81","53","67","100","73","93","75","36","47","43","81","45","88","41","80","82"
"1","115","Augustendal","Demensboende","","","20% - 40%","0","100","29","29","0","x","x","x","x","x","x","x","x","43","100","x","x","x","x","29","x","x","x","100","14","86","86"
"1","115","Augustendal","Omvårdnadsboende","","","60% - 80%","0","100","44","22","33","100","78","78","67","78","88","89","63","86","100","78","88","78","43","56","44","78","57","78","67","71","78"
"1","115","Korallens vårdboende","","","","40% - 60%","100","0","26","21","11","64","75","76","77","56","72","69","57","64","94","81","83","89","56","65","31","82","36","89","47","92","83"
"1","115","Korallens vårdboende","Demensboende","","","40% - 60%","100","0","22","0","22","43","57","57","88","38","63","71","x","x","100","100","88","88","x","75","13","86","x","100","33","86","75"
"1","115","Korallens vårdboende","Omvårdnadsboende","","","40% - 60%","100","0","30","40","0","86","89","90","x","70","80","67","63","71","90","63","80","90","70","56","50","80","25","80","60","x","90"
"1","115","Stångberga","","","","40% - 60%","0","100","30","44","10","86","67","67","75","80","80","100","88","88","100","88","100","90","x","71","57","78","x","88","67","100","100"
"1","115","Väsbygården","","","","40% - 60%","100","0","22","52","13","86","68","55","74","65","65","83","25","50","100","85","95","96","43","64","30","68","25","87","48","88","87"
"1","115","Väsbygården","Demensboende","","","60% - 80%","100","0","x","x","43","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"1","115","Väsbygården","Somatik","","","40% - 60%","100","0","24","59","0","100","69","50","71","65","65","82","19","50","100","80","94","94","44","63","35","63","27","82","47","82","82"
"1","115","Vårdbo","","","","40% - 60%","0","100","20","27","20","50","36","36","43","64","50","64","27","45","93","70","77","77","36","31","46","69","33","67","23","67","69"
"1","115","Vårdbo","Demensboende","","","40% - 60%","0","100","18","20","27","43","36","36","36","64","55","73","25","50","91","71","80","73","36","30","33","73","30","70","18","70","73"
"1","117","Enebacken","","","","40% - 60%","0","100","28","33","8","67","71","59","56","70","71","64","34","44","91","70","91","83","56","38","41","79","62","78","44","82","77"
"1","117","Enebacken","Plan 2 Sävastby","","","60% - 80%","0","100","29","57","0","x","71","71","57","x","x","x","x","x","x","x","86","x","x","x","x","x","x","x","57","86","x"
"1","117","Smedbygården","","","","40% - 60%","0","100","38","27","36","95","85","91","95","100","100","95","85","89","100","100","100","100","100","95","72","100","100","100","82","100","100"
"1","117","Smedbygården","Ext Stockholm","","","60% - 80%","0","100","36","14","36","91","85","86","93","100","100","93","75","83","100","100","100","100","100","93","64","100","100","100","79","100","100"
"1","117","Solskiftets äldreboende","","","","40% - 60%","100","0","44","50","13","86","80","63","73","73","80","94","50","80","94","93","93","93","85","80","50","87","73","100","38","92","88"
"1","117","Solskiftets äldreboende","Röd","","","60% - 80%","100","0","63","63","25","88","88","63","86","75","88","88","50","88","88","100","88","88","86","88","63","100","63","100","38","x","88"
"1","117","Vårdbo","","","","40% - 60%","0","100","33","36","17","89","67","36","90","67","42","75","42","42","92","75","92","92","67","67","0","92","42","92","42","75","100"
"1","117","Vårdbo","Plan 2","","","40% - 60%","0","100","14","x","0","x","71","x","x","57","29","71","43","29","100","86","100","100","71","43","0","100","29","86","43","x","100"
"1","120","Attendo Ljung","","","","20% - 40%","0","100","23","25","15","89","69","54","50","67","62","54","45","33","75","90","91","62","45","54","18","92","20","82","25","82","70"
"1","120","Attendo Slottsovalen","","","","40% - 60%","0","100","14","43","7","100","77","64","93","58","80","73","64","58","87","71","93","80","75","92","45","92","77","87","67","92","80"
"1","120","Djuröhemmet","","","","40% - 60%","100","0","21","50","7","92","79","71","92","77","62","79","58","82","100","91","100","86","80","83","31","77","67","100","64","x","86"
"1","120","Gustavsgården","","","","40% - 60%","100","0","34","37","17","89","74","57","80","81","65","74","42","50","90","73","85","79","64","51","43","78","64","82","46","80","84"
"1","120","Gustavsgården","B-huset","","","40% - 60%","100","0","36","36","21","100","69","46","77","64","57","79","31","58","93","69","86","79","38","43","31","79","71","79","50","88","79"
"1","120","Gustavsgården","C-huset","","","60% - 80%","100","0","38","50","21","87","78","65","82","83","77","83","45","56","96","89","96","83","85","67","55","90","60","90","52","80","95"
"1","120","Gustavsgården","D-huset","","","40% - 60%","100","0","29","21","7","92","80","58","78","93","57","58","56","36","79","50","71","79","50","38","38","62","70","77","36","82","77"
"1","123","Almens äldreboende","","","","40% - 60%","100","0","25","36","18","82","85","38","33","69","92","69","27","25","100","73","93","86","75","31","50","58","27","62","38","100","69"
"1","123","Björkens äldreboende","","","","40% - 60%","100","0","11","33","21","94","63","61","69","63","59","61","29","43","95","67","89","84","43","50","22","88","79","94","56","100","95"
"1","123","Ekens äldreboende","","","","60% - 80%","100","0","20","40","4","100","64","57","36","72","65","76","53","71","96","73","92","83","79","65","46","96","70","84","44","86","84"
"1","123","Flottiljen äldreboende","","","","60% - 80%","0","100","36","61","18","88","73","68","72","74","85","86","50","68","93","76","93","96","68","65","46","89","52","96","39","85","85"
"1","123","Lindens äldreboende","","","","40% - 60%","0","100","20","30","10","85","67","47","63","80","56","63","44","50","90","65","68","84","39","42","32","60","55","79","35","85","61"
"1","123","Lönnen äldreboende","","","","40% - 60%","0","100","29","38","21","72","88","68","70","91","87","82","47","58","100","96","100","91","44","37","19","85","76","86","52","95","88"
"1","123","Olovslunds äldreboende","","","","40% - 60%","100","0","14","21","14","63","62","54","44","67","60","83","44","30","100","64","100","92","45","36","18","100","55","71","36","78","93"
"1","123","Tallbohovs äldreboende/omsorg","","","","40% - 60%","100","0","35","59","4","64","71","62","40","69","58","74","42","57","91","74","88","88","67","39","36","77","53","78","40","91","72"
"1","123","Tallbohovs äldreboende/omsorg","Oms","","","40% - 60%","100","0","27","50","0","63","68","50","38","73","73","73","44","67","95","74","80","80","71","25","32","67","35","73","43","87","68"
"1","123","Tallbohovs äldreboende/omsorg","dem","","","40% - 60%","100","0","42","67","8","65","75","73","42","65","43","76","40","47","88","73","95","95","63","53","40","88","73","84","38","94","76"
"1","125","Ekgården","","","","40% - 60%","100","0","29","50","4","95","57","52","68","95","62","74","35","55","100","71","91","91","74","67","23","76","56","81","59","88","83"
"1","125","Färingsöhemmet","","","","60% - 80%","100","0","45","50","15","100","95","68","71","85","74","95","73","78","100","100","95","100","65","75","44","94","75","100","63","100","100"
"1","125","Kullen","","","","40% - 60%","0","100","15","49","10","90","68","54","71","65","67","70","52","65","95","85","84","86","55","55","36","76","67","81","54","96","79"
"1","126","Björnkulla 1","","","","40% - 60%","100","0","29","71","29","85","79","83","79","79","71","85","50","50","92","77","85","85","31","64","36","92","55","86","54","83","79"
"1","126","Björnkulla 1","Demensboende","","","60% - 80%","100","0","27","82","27","100","91","80","73","91","73","80","57","56","100","80","100","80","30","73","38","100","63","82","40","100","91"
"1","126","Björnkulla 2","","","","40% - 60%","100","0","46","38","38","80","79","71","77","100","92","92","58","85","100","100","100","93","67","79","29","54","42","92","38","100","86"
"1","126","Björnkulla 2","Demensboende","","","40% - 60%","100","0","38","38","25","x","67","67","75","100","100","100","71","75","100","100","100","89","63","67","33","63","38","88","25","100","89"
"1","126","Ekgården","","","","40% - 60%","100","0","29","29","14","x","x","x","x","71","x","71","x","x","100","x","86","86","x","x","x","x","x","x","57","x","x"
"1","126","Ekgården","Demensboende","","","40% - 60%","100","0","29","29","14","x","x","x","x","71","x","71","x","x","100","x","86","86","x","x","x","x","x","x","57","x","x"
"1","126","Externt","","","","20% - 40%","0","100","12","42","8","75","88","73","52","67","68","65","44","58","76","71","81","73","62","50","35","82","45","84","48","88","75"
"1","126","Externt","Attendo Skutan","","","20% - 40%","0","100","15","42","8","67","92","85","27","73","80","77","22","30","77","75","77","85","70","40","45","82","30","100","50","78","83"
"1","126","Externt","Vårbacka Plaza Aleris","","","20% - 40%","0","100","11","22","11","75","78","44","63","56","44","44","57","x","63","67","78","56","50","38","x","71","43","67","44","x","63"
"1","126","Kullagården","","","","40% - 60%","100","0","23","38","38","70","82","82","92","91","90","77","x","60","92","100","100","100","63","40","45","100","x","83","33","71","91"
"1","126","Kullagården","Demensboende","","","40% - 60%","100","0","23","38","38","70","82","82","92","91","90","77","x","60","92","100","100","100","63","40","45","100","x","83","33","71","91"
"1","126","Rosendalsgården","","","","60% - 80%","100","0","29","63","24","88","71","73","74","79","62","76","37","52","97","86","91","97","75","91","42","86","43","91","62","86","88"
"1","126","Rosendalsgården","Ålderdomshem","","","60% - 80%","100","0","29","63","24","88","71","73","74","79","62","76","37","52","97","86","91","97","75","91","42","86","43","91","62","86","88"
"1","126","Stuvstagården","","","","40% - 60%","100","0","18","27","18","91","63","56","13","70","56","91","57","71","91","88","70","63","38","22","43","75","75","90","50","90","91"
"1","126","Tallgården","","","","60% - 80%","100","0","26","52","11","81","85","75","64","74","68","91","59","81","94","81","94","85","67","69","45","74","44","91","49","79","88"
