"Länskod","Kommunkod","Nivå 1","Nivå 2","Nivå 3","Nivå 4","Totalt, andel svar, procent","Enskild","Offentlig","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","114","Brobacken","","","","40% - 60%","0","100","31","34","24","96","71","76","53","57","59","73","56","49","92","75","78","77","70","53","41","71","52","82","47","85","83"
"23","2380","Vardaga AB","Björkbacka","","","60% - 80%","100","0","20","20","10","73","53","26","50","74","63","58","67","88","100","79","76","78","64","44","21","76","60","82","35","87","56"
"1","114","Edsby slott","Flygel","","","60% - 80%","100","0","24","44","24","100","83","82","65","72","83","83","53","83","89","94","94","94","69","76","41","88","78","82","63","100","89"
"1","114","Edsby slott","Slottet","","","40% - 60%","100","0","14","29","14","100","86","100","x","x","x","100","x","x","100","x","100","100","x","57","x","x","x","x","14","x","100"
"1","114","Hedvigsgården","","","","20% - 40%","0","100","17","42","0","100","71","71","69","55","55","58","40","50","93","82","86","79","45","46","31","85","60","79","36","80","69"
"1","114","Lavendelgården","","","","60% - 80%","100","0","20","30","0","90","90","70","13","73","70","73","38","50","100","90","82","100","67","55","44","82","70","82","64","75","90"
"1","114","Speldosan","","","","40% - 60%","0","100","8","33","8","63","42","40","55","17","18","58","27","33","75","58","67","42","22","58","25","92","83","67","17","82","58"
"1","115","Augustendal","","","","40% - 60%","100","0","29","41","12","85","75","69","73","75","81","76","50","53","94","79","81","88","60","67","44","75","50","75","50","93","94"
"1","115","Augustendal","Demensboende","","","40% - 60%","100","0","13","50","13","x","57","57","71","75","75","75","x","x","88","x","75","88","57","71","29","71","x","63","63","100","88"
"1","115","Augustendal","Omvårdnadsboende","","","60% - 80%","100","0","44","33","11","86","89","78","75","75","88","78","44","56","100","88","88","89","63","63","56","78","57","88","38","86","100"
"1","115","Korallens vårdboende","","","","40% - 60%","0","100","30","32","26","67","65","55","71","65","70","73","28","68","96","90","83","87","38","50","40","91","41","87","41","61","86"
"1","115","Korallens vårdboende","Demensboende","","","40% - 60%","0","100","25","8","33","55","58","50","75","58","67","83","22","82","100","100","92","83","17","58","27","91","67","92","58","75","100"
"1","115","Korallens vårdboende","Omvårdnadsboende","","","40% - 60%","0","100","40","67","20","80","80","67","63","80","80","67","38","60","90","89","70","90","67","33","63","90","14","80","11","x","80"
"1","115","Stångberga sjukhem","","","","60% - 80%","100","0","36","55","17","89","67","92","50","92","45","92","64","67","100","100","100","90","63","67","18","73","50","83","58","100","100"
"1","115","Stångberga sjukhem","Somatik","","","60% - 80%","100","0","29","57","25","x","75","88","43","100","71","88","63","75","100","100","x","x","x","x","29","71","x","75","75","x","100"
"1","115","Väsbygården","","","","60% - 80%","0","100","36","43","21","100","79","62","65","72","78","79","45","75","96","83","93","90","52","67","30","92","40","100","46","91","86"
"1","115","Väsbygården","Somatik","","","60% - 80%","0","100","30","50","10","100","75","52","50","67","70","75","39","67","95","78","90","86","37","63","29","94","38","100","43","87","81"
"1","115","Vårdbo","","","","60% - 80%","100","0","36","50","7","60","50","46","46","62","38","71","27","50","100","82","91","77","33","27","45","83","75","67","43","57","54"
